"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"matching/SERVER_ERROR_BAD_MODE_NAME";"Bad game mode.";"Mode de jeu incorrect.";"Modalità di gioco errata.";"Falscher Spielmodus.";"Mal modo de juego.";"Неверный игровой режим.";"Невірний ігровий режим.";"Zły tryb gry.";"Modo de jogo ruim.";"Uyumsuz oyun modu.";"부적절한 게임 모드";"游\t戏\t模\t式\t错\t误";"不正な\tゲームモードです。";"錯\t誤\t遊\t戲\t模\t式";;
"matching/SERVER_ERROR_BUSY";"Server is busy. Try again later.";"Le serveur est occupé. Réessayez plus tard.";"Server occupato. Riprova più tardi.";"Der Server ist ausgelastet. Versuche es später erneut.";"El servidor está ocupado. Intentar de nuevo más tarde.";"Сервер перегружен. Повторите запрос позже.";"Сервер перевантажений. Повторіть запит пізніше.";"Serwer jest zajęty. Spróbuj ponownie później.";"O servidor está ocupado. Tente novamente mais tarde.";"Sunucu meşgul. Daha sonra tekrar deneyin.";"서버에 접속이 폭주하고 있습니다. 잠시 후 다시 시도해 주십시오.";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"サーバーが\tビジー\t状態です。\tまた\t後ほどお\t試しください。";"伺\t服\t器\t忙\t碌\t中，\t請\t稍\t後\t再\t試";;
"matching/SERVER_ERROR_PEERS_LIMIT_REACHED";"Server is busy. Try again later.";"Le serveur est occupé. Réessayez plus tard.";"Server occupato. Riprova più tardi.";"Der Server ist ausgelastet. Versuche es später erneut.";"El servidor está ocupado. Intentar de nuevo más tarde.";"Сервер перегружен. Повторите запрос позже.";"Сервер перевантажений. Повторіть запит пізніше.";"Serwer jest zajęty. Spróbuj ponownie później.";"O servidor está ocupado. Tente novamente mais tarde.";"Sunucu meşgul. Daha sonra tekrar deneyin.";"서버에 접속이 폭주하고 있습니다. 잠시 후 다시 시도해 주십시오.";"服\t务\t器\t正\t忙，\t请\t稍\t后\t再\t试。";"サーバーが\tビジー\t状態です。\tまた\t後ほどお\t試しください。";"伺\t服\t器\t忙\t碌\t中，\t請\t稍\t後\t再\t試";;
"matching/SERVER_ERROR_MODE_UNAVAILABLE";"Chosen game mode is unavailable.";"Le mode de jeu choisi n'est pas disponible.";"Modalità di gioco scelta non è disponibile.";"Der ausgewählte Spielmodus ist nicht verfügbar.";"El modo seleccionado no esta disponible.";"Выбранный игровой режим недоступен.";"Обраний ігровий режим недоступний.";"Wybrany tryb gry jest niedostępny.";"Modo de jogo escolhido indisponível.";"Seçilen oyun modu kullanılamaz.";"선택한 게임 모드는 이용할 수 없습니다.";"所\t选\t模\t式\t暂\t不\t可\t用";"選択された\tゲームモードは\t利用できません。";"選\t擇\t的\t遊\t戲\t模\t式\t無\t法\t使\t用";;
"matching/CLIENT_ERROR_ROOM_INVITE_REJECT";"Session invite was rejected.";"L'invitation à la session a été rejetée.";"L'invito alla sessione è stato respinto.";"Einladung zur Spielsitzung wurde abgelehnt.";"La invitación de la sesión fue rechazada.";"Приглашение в сессию было отклонено.";"Запрошення в кімнату було відхилене.";"Zaproszenie do sesji zostało odrzucone.";"Convite para a sala foi rejeitado.";"Oturum daveti reddedildi.";"세션 초대가 거절되었습니다.";"邀\t请\t被\t拒\t绝";"セッションへの\t招待が\t拒否されました。";"邀\t請\t被\t拒\t絕";;
"matching/CLIENT_ERROR_OFFLINE";"Connection error. Check your internet connection and try again.";"Erreur de connexion. Vérifiez votre connexion réseau et réessayez.";"Errore di connessione. Controlla la tua connessione internet e riprova.";"Verbindungsfehler. Überprüfe Deine Internetverbindung und versuche es erneut.";"Error de conexión. Comprueba tu conexión a Internet e inténtalo de nuevo.";"Ошибка соединения. Проверьте ваше интернет соединение и попробуйте снова.";"Помилка підключення. Перевірте інтернет-з’єднання та спробуйте ще раз.";"Błąd połączenia. Sprawdź połączenie internetowe i spróbuj ponownie.";"Erro de ligação. Verifique a ligação à Internet e tente novamente.";"Bağlantı hatası. İnternet bağlantınızı kontrol edip tekrar deneyin.";"연결 도중 오류가 발생했습니다. 인터넷 연결을 확인한 뒤 다시 시도해 주십시오.";"连\t接\t错\t误，\t请\t检\t查\t您\t的\t网\t络\t连\t接\t并\t稍\t后\t重\t试。";"接続\tエラーです。\tインターネット\t接続を\t確認して、\tもう\t一度お\t試しください。";"連\t接\t錯\t誤，\t請\t檢\t查\t您\t的\t網\t絡\t連\t接\t並\t稍\t後\t重\t試。";;
"matching/HOST_ERROR_NOT_READY";"Internal host error.";"Erreur hôte interne.";"Errore host interno.";"Interner Sitzungsleitungs-Fehler.";"Error interno del host.";"Внутренняя ошибка игрового сервера.";"Внутрішня помилка ігрового сервера.";"Błąd wewnętrzny hosta.";"Erro interno do anfitrião.";"Dahili sunucu hatası.";"내부 호스트 오류";"内\t部\t主\t机\t错\t误";"内部\tホストエラー。";"內\t部\t主\t機\t錯\t誤";;
"matching/HOST_ERROR_BAD_MISSION";"Bad mission parameters.";"Mauvais paramètres de mission.";"Parametri di missione errati.";"Fehlerhafte Missionsparameter.";"Malos parámetros  de la misión.";"Параметры миссии заданы неверно.";"Параметри місії задані невірно.";"Złe parametry misji.";"Parâmetros da missão ruins.";"Bozuk görev parametreleri.";"부적절한 임무 매개변수";"任\t务\t参\t数\t错\t误";"不正な\tミッションパラメータです。";"任\t務\t參\t數\t錯\t誤";;
"matching/HOST_ERROR_CHAR_REQ_FAILED";"Internal host error.";"Erreur hôte interne.";"Errore host interno.";"Interner Sitzungsleitungs-Fehler.";"Error interno del host.";"Внутренняя ошибка игрового сервера.";"Внутрішня помилка ігрового сервера.";"Błąd wewnętrzny hosta.";"Erro interno do anfitrião.";"Dahili sunucu hatası.";"내부 호스트 오류";"内\t部\t主\t机\t错\t误";"内部\tホストエラー。";"內\t部\t主\t機\t錯\t誤";;
"matching/HOST_ERROR_ROOM_CREATE_FAILED";"Internal host error.";"Erreur hôte interne.";"Errore host interno.";"Interner Sitzungsleitungs-Fehler.";"Error interno del host.";"Внутренняя ошибка игрового сервера.";"Внутрішня помилка ігрового сервера.";"Błąd wewnętrzny hosta.";"Erro interno do anfitrião.";"Dahili sunucu hatası.";"내부 호스트 오류";"内\t部\t主\t机\t错\t误";"内部\tホストエラー。";"內\t部\t主\t機\t錯\t誤";;
"matching/CLIENT_ERROR_CONNECTION_CLOSED";"Connection to the server was lost.";"La connexion au serveur a été perdue.";"La connessione al server è stata persa.";"Verbindung zum Server verloren.";"Se perdió la conexión con el servidor.";"Связь с сервером потеряна.";"З’єднання з сервером було втрачено.";"Połączenie z serwerem zostało przerwane.";"Conexão com o servidor perdida.";"Sunucu bağlantısı koptu.";"서버와의 연결이 끊어졌습니다.";"服\t务\t器\t连\t接\t丢\t失。";"サーバーとの\t接続が\t切断しました。";"連\t接\t伺\t服\t器\t資\t訊\t漏\t失";;
"matching/CLIENT_ERROR_FAILED_TO_CONNECT";"Unable to connect to the server.";"Impossible de se connecter au serveur.";"Impossibile connettersi al server.";"Kann nicht mit Server verbinden.";"No se puede conectar con el servidor.";"Не удалось установить соединение с сервером.";"Не вдалося встановити з'єднання з сервером.";"Nie można połączyć się z serwerem.";"Não é possível conectar ao servidor.";"Sunucu bağlantısı kurulamıyor.";"서버에 접속할 수 없습니다.";"无\t法\t连\t接\t服\t务\t器。";"サーバーへの\t接続が\t出来ません。";"無\t法\t連\t接\t伺\t服\t器";;
"matching/SERVER_ERROR_FORCE_DISCONNECT";"The server has closed the connection.";"Le serveur a fermé la connexion.";"Il server ha chiuso la connessione.";"Server hat die Verbindung geschlossen.";"El servidor ha cerrado la conexión.";"Сервер закрыл соединение.";"Сервер закрив з'єднання.";"Serwer przerwał połączenie.";"O servidor fechou a conexão.";"Sunucu bağlantıyı kapattı.";"서버가 연결을 끊었습니다.";"服\t务\t器\t端\t关\t闭\t了\t连\t接。";"サーバーへの\t接続が\t終了しました。";"伺\t服\t器\t端\t關\t閉\t連\t接";;
"matching/AUTH_WRONG_LOGIN";"Incorrect login or password";"Mot de passe ou login incorrect";"Password o accesso errato";"Login oder Passwort fehlerhaft.";"Incorrecto usuario o contraseña";"Неправильный логин или пароль.";"Неправильний логін або пароль.";"Niepoprawny login lub hasło";"Login ou senha incorreta";"Hatalı kullanıcı adı veya şifre";"잘못된 로그인 또는 비밀번호";"账\t号\t名\t或\t密\t码\t错\t误";"ログインもしくは\tパスワードが\t正しくありません。";"帳\t號\t或\t是\t密\t碼\t錯\t誤";;
"matching/AUTH_SERVER_NOT_AVAILABLE";"The authorization server is unavailable. Check your internet connection.";"Le serveur d'autorisation n'est pas disponible. Vérifiez votre connection internet.";"Server per l'autorizzazione indisponibile. Si prega di controllare la connessione internet.";"Der Autorisierungsserver ist nicht verfügbar. Überprüfe deine Internetverbindung.";"El servidor de autorización no está disponible. Comprueba tu conexión a Internet.";"Сервер авторизации недоступен. Проверьте доступ в интернет на вашем устройстве.";"Сервер авторизації недоступний. Перевірте з’єднання з мережею.";"Serwer autoryzacji jest niedostępny. Sprawdź połączenie internetowe.";"O servidor de autorização está indisponível. Verifique a ligação à Internet.";"Yetkilendirme sunucusuna erişilemiyor. İnternet bağlantızı kontrol edin.";"인증 서버를 사용할 수 없습니다. 인터넷 연결 상태를 확인하십시오.";"验\t证\t服\t务\t器\t不\t可\t用，\t请\t检\t查\t网\t络\t连\t接。";"サーバーの\t承認ができません。\tインターネット\t接続をご\t確認ください。";"認\t證\t伺\t服\t器\t不\t可\t用。 檢\t查\t您\t的\t網\t路\t連\t線。";;
"matching/AUTH_FROZEN";"Your account has been frozen. Please visit support.gaijin.net";"Votre compte a été bloqué. Merci de visiter la page support.gaijin.net";"Il tuo account è stato bloccato. Visitare support.gaijinent.com";"Dein Konto wurde eingefroren. Bitte wende dich an: support.gaijin.net";"Su cuenta ha sido suspendida. Por favor, visite support.gaijin.net";"Ваш аккаунт заморожен. Пожалуйста, обратитесь в support.gaijin.net";"Ваш акаунт заморожений. Будь ласка, зверніться в support.gaijin.net";"Twoje konto zostało zawieszone. Proszę odwiedzić stronę support.gaijinent.com";"A sua conta foi congelada. Por favor visite support.gaijinent.com";"Hesabınız donduruldu. Lütfen support.gaijin.net adresini ziyaret edin";"당신의 계정은 현재 이용중지되었습니다. support.gaijin.net을 방문하시기 바랍니다.";"账\t户\t已\t被\t冻\t结。\t欲\t知\t详\t情，\t请\t访\t问 support.gaijinent.com";"あなたの\tアカウントは\t凍結中です。\tsupport.gaijin.net をご\t覧ください。";"帳\t號\t已\t經\t被\t凍\t結，\t請\t前\t往 support.gaijin.net";;
"matching/AUTH_NOT_LOGGED";"You are offline - sign in first.";"Vous êtes hors ligne - connectez-vous d'abord.";"Sei offline - accedi.";"Du bist offline - melde dich zuerst an.";"Usted está fuera de linea - primero debe iniciar sesión.";"Вы не в сети — сначала залогиньтесь.";"Ви не в мережі — спочатку залогінтесь.";"Brak połączenia - najpierw musisz się zalogować.";"Você está offline - inscreva-se primeiro.";"Çevrim dışısınız - önce oturum açın.";"접속이 끊어졌습니다. 먼저 로그인 해 주십시오.";"当\t前\t处\t于\t离\t线\t状\t态\t—\t—\t请\t先\t登\t录。";"あなたは\tオフライン\t状態です。\tまずは\tサインインしてください。";"你\t目\t前\t離\t線\t中 - 請\t先\t登\t入";;
"matching/LOBBY_LOBBY_IS_ABANDONED";"Game session has finished.";"La session de jeu est terminée.";"Sessione di gioco terminata.";"Spielsitzung wurde beendet.";"La sesión de juego ha finalizado.";"Игровая сессия завершилась.";"Ігрова сесія завершилася.";"Sesja rozgrywki zakończyła się.";"Sessão de jogo está terminada.";"Oyun oturumu tamamlandı.";"게임 세션이 완료되었습니다.";"本\t场\t游\t戏\t已\t结\t束。";"ゲームセッション\t終了。";"本\t場\t遊\t戲\t已\t結\t束。";;
"matching/LOBBY_TEAM_IS_FULL";"Chosen team is full.";"L’équipe sélectionnée est pleine.";"La squadra scelta è completa.";"Das gewählte Team ist voll.";"El equipo elegido esta completo.";"Выбранная команда заполнена.";"Обрана команда заповнена.";"Wybrana drużyna jest pełna.";"A equipa escolhida está cheia.";"Seçilen takım dolu.";"선택한 팀이 가득 찼습니다.";"该\t队\t伍\t人\t数\t已\t满。";"選択した\tチームは\t満室です。";"選\t擇\t的\t隊\t伍\t人\t數\t已\t滿";;
"matching/<unknown_error>";"Internal server error.";"Erreur interne du serveur.";"Errore interno del server.";"Interner Serverfehler.";"Error interno del servidor.";"Внутренняя ошибка сервера.";"Внутрішня помилка сервера.";"Błąd wewnętrzny serwera.";"Erro interno do servidor.";"Dahili sunucu hatası.";"내부 서버 오류";"服\t务\t器\t内\t部\t错\t误。";"内部\tサーバーエラー。";"服\t務\t器\t內\t部\t錯\t誤。";;
"matching/msg_kicked";"You are kicked out of battleground";"Vous avez été expulsé du champ de bataille";"Sei stato cacciato dalla battaglia";"Du wurdest vom Schlachtfeld entfernt";"Usted ha sido echado del campo de batalla";"Вас попросили покинуть бой";"Вас вигнали з битви";"Zostałeś wyrzucony z pola bitwy";"Foi expulso do campo de batalha";"Savaş alanından atıldınız";"강퇴당했습니다.";"已\t被\t踢\t出\t游\t戏";"戦場から\tキックされました。";"你\t已\t被\t踢\t出\t遊\t戲";;
"matching/SERVER_ERROR_SQUAD_TOO_LARGE";"Your squad is too large for selected game mode.";"Votre essquad est trop grande pour le mode de jeu sélectionné.";"Il tuo plotone è troppo grande per la modalità di gioco selezionata.";"Deine Staffel ist zu groß für den gewählten Spielmodus.";"Tu escuadrón es muy grande para el modo de juego seleccionado.";"Размер вашего отряда слишком большой для выбранного режима.";"Розмір вашого загону занадто великий для обраного режиму.";"Twój oddział jest za duży jak na wybrany tryb gry.";"A sua equipe é demasiado grande para o modo de jogo selecionado.";"Takımınız seçilen oyun modu için çok kalabalık.";"이 게임 모드에서 편대가 너무 큽니다.";"小\t队\t人\t数\t太\t多，\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"あなたの\t分隊は\t選択した\tゲームモードに\t対して\t人数が\t多すぎます。";"小\t隊\t人\t數\t太\t多，\t無\t法\t參\t與\t該\t遊\t戲\t模\t式。";;
"matching/SERVER_ERROR_WRONG_COUNTRY";"Selected country is not available in this game mode.";"La nation sélectionnée n'est pas disponible pour ce mode de jeu.";"La Nazione selezionata non è disponibile in questa modalità di gioco.";"Die ausgewählte Nation ist in diesem Spielmodus nicht verfügbar.";"El país seleccionado no está disponible en este modo de juego.";"Выбранная страна недоступна для данного режима.";"Вибрана країна недоступна в цьому режимі гри.";"Wybrana nacja nie jest dostępna w tym trybie gry.";"O país selecionado não está disponível neste modo de jogo.";"Bu oyun modunda seçilen ülke kullanılabilir değil.";"선택한 국가는 이 게임 모드에서 사용할 수 없습니다.";"所\t选\t国\t家\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"選択した\t国はこの\tゲームモードでは\t無効です。";"選\t擇\t的\t國\t家\t在\t這\t個\t遊\t戲\t模\t式\t下\t無\t法\t使\t用";;
"matching/SERVER_ERROR_NOT_IN_CLAN";"Members of your squad must belong to one squadron.";"Les membres de votre équipe doivent faire parti d'un escadron.";"I membri del tuo plotone devono appartenere ad una Squadriglia.";"Die Mitglieder deiner Staffel müssen der gleichen Kampfgruppe angehören.";"Tienes que estar en un escuadrón para participar en este modo de juego.";"Члены отряда должны состоять в одном полку.";"Члени вашого загону повинні перебувати в одному полку.";"Członkowie twojego oddziału muszą należeć do jednego dywizjonu.";"Os membros da sua equipe devem pertencer ao mesmo esquadrão.";"Takımının oyuncuları yalnızca bir Filo'dan olmalı.";"편대원들이 하나의 비행대에 가입되어 있어야 합니다.";"小\t队\t成\t员\t须\t来\t自\t同\t一\t联\t队。";"あなたの\t分隊の\tメンバーは、\t必ずひとつの\t部隊に\t所属していなければなりません。";"你\t的\t小\t隊\t成\t員\t必\t須\t來\t自\t同\t一\t個\t聯\t隊";;
"matching/SERVER_ERROR_NO_CRAFTS_TO_PLAY";"You have no vehicles available in this game mode.";"Vous n'avez aucun véhicule disponible dans ce mode de jeu.";"Non hai nessun veicolo disponibile per questa modalità.";"Dir stehen für diesen Spielmodus keine Fahrzeuge zur Verfügung.";"No tienes ningún vehículo disponible para este modo de juego.";"Нет техники, доступной для игры в данном режиме.";"Немає техніки, доступної для гри в цьому режимі.";"Nie masz maszyn odpowiednich do tego trybu gry.";"Não tem veículos disponíveis neste modo de jogo.";"Bu oyun modu için kullanılabilir aracınız yok.";"이 게임 모드에서 사용할 수 있는 장비가 없습니다.";"由\t于\t缺\t少\t指\t定\t载\t具，\t无\t法\t参\t与\t该\t模\t式\t游\t戏。";"この\tゲームモードで\t使用できる\t機体がありません。";"你\t沒\t有\t在\t這\t個\t遊\t戲\t模\t式\t中\t可\t使\t用\t的\t載\t具";;
"matching/SERVER_ERROR_WRONG_TEAM";"The chosen team is not available.";"L'équipe choisie n'est pas disponible.";"La squadra scelta non è disponibile.";"Das ausgewählte Team ist nicht verfügbar.";"Chosen team is not available.";"Выбранная команда недоступна для игры.";"Обрана команда недоступна для гри.";"Wybrana drużyna nie jest dostępna.";"A equipe escolhida não está disponível.";"Seçili takım müsait değil.";"선택한 팀으로 활동할 수 없습니다.";"无\t法\t加\t入\t该\t队。";"選択した\tチームは\t無効です。";"無\t法\t加\t入\t該\t隊\t伍。";;
"matching/SERVER_ERROR_LOBBY_DISBALANCED";"You cannot play on this team. Please choose another one.";"Vous ne pouvez pas jouer dans cette équipe. Veuillez essayer d'en choisir une autre.";"Non puoi giocare in questa squadra. Prova a sceglierne un'altra.";"Du kannst diesem Team nicht beitreten. Bitte wähle ein anderes Team aus.";"No puede jugar en este equipo. Por favor intente elegir otro.";"Вы не можете играть за выбранную команду. Попробуйте выбрать другую.";"Ви не можете грати за обрану команду. Спробуйте вибрати іншу.";"Nie możesz zagrać w tej drużynie. Spróbuj wybrać inną.";"Você não pode jogar nesta equipe. Por favor, tente escolher outra.";"Bu takımda oynayamazsın. Başka bir takım seçmeyi dene.";"이 팀으로 플레이할 수 없습니다. 다른 팀을 선택하십시오.";"无\t法\t加\t入\t该\t队。\t请\t选\t择\t另\t一\t支\t队\t伍。";"この\tチームで\tプレイすることはできません。\t別の\tチームを\t選択してください。";"你\t不\t能\t加\t入\t該\t隊\t伍，\t請\t嘗\t試\t選\t擇\t另\t一\t個\t隊\t伍";;
"matching/SERVER_ERROR_LOBBY_TEAM_NOT_CHOSEN";"Please choose a team to play on.";"Veuillez choisir une équipe pour jouer.";"Scegli la squadra con cui giocare.";"Bitte wähle ein Team aus, für das du spielen möchtest.";"Por favor elija un equipo para jugar.";"Необходимо выбрать команду для игры.";"Необхідно вибрати команду для гри.";"Proszę wybrać drużynę do gry.";"Por favor, escolha uma equipe para jogar.";"Oynamak için lütfen bir takım seçin.";"팀을 선택하십시오.";"请\t选\t择\t一\t支\t队\t伍\t加\t入。";"プレイする\tチームを\t選択してください。";"請\t選\t擇\t一\t個\t隊\t伍\t加\t入\t遊\t戲";;
"matching/WW_OPERATION_NOT_FOUND";"Operation not found";"Opération introuvable";"Operazione non trovata";"Operation nicht gefunden";"Operación no encontrada";"Операция не найдена";"Операцію не знайдено";"Operacja nie znaleziona";"Operação não encontrada";"Operasyon bulunamadı";"작전을 찾을 수 없습니다.";"未\t找\t到\t该\t行\t动";"作戦が\t見つかりません";"未\t找\t到\t該\t行\t動";"(same as worldwar/operationNotFound)";
"matching/WW_BATTLE_NOT_FOUND";"Battle not found";"Bataille introuvable";"Battaglia non trovata";"Schlacht nicht gefunden";"Batalla no encontrada";"Битва не найдена";"Битву не знайдено";"Bitwa nie znaleziona";"Batalha não encontrada";"Savaş bulunamadı";"전투를 찾을 수 없습니다.";"未\t找\t到\t该\t战\t斗";"戦闘が\t見つかりません";"未\t找\t到\t該\t戰\t鬥";"(same as worldwar/battle_not_found)";
"matching/WW_SQUAD_MEMBER_IN_SESSION";"Squad member is already in session";"Le membre d'escouade est déjà en session";"Membro del plotone già nella sessione";"Das Staffelmitglied ist bereits in einer Spielsitzung";"Miembro del escuadrón ya está en la sesión";"Член отряда уже в сессии";"Член загону вже в сесії";"Członek oddziału już dołączył do sesji";"Membro do esquadrão está já em sessão";"Takım üyesi zaten oturumda";"편대원이 이미 세션에 있습니다.";"小\t队\t成\t员\t已\t在\t游\t戏\t中";"部隊\tメンバーはすでに\tセッションに\t入っています。";"小\t隊\t成\t員\t已\t經\t在\t遊\t戲\t中";;
"matching/WW_NO_CRAFTS_TO_PLAY";"There is no available units for battle";"Il n’y a pas d’unités disponibles pour la bataille";"Non ci sono unità disponibili per la battaglia";"Für diese Schlacht stehen keine Fahrzeuge zur Verfügung";"No hay unidades disponibles para la batalla";"Нет доступной техники для боя";"Немає доступної техніки для бою";"Brak dostępnych jednostek, aby dołączyć do bitwy";"Não há nenhuma unidade disponível para a batalha";"Savaş için uygun birim yok";"사용 가능한 장비가 없습니다.";"没\t有\t可\t用\t的\t作\t战\t单\t位";"戦闘に\t利用可能な\t兵器がありません";"沒\t有\t可\t用\t的\t作\t戰\t單\t位";;
"matching/LOBBY_TEAM_NOT_CHOSEN";"Please choose a team to play on.";"Veuillez choisir une équipe pour jouer.";"Scegli la squadra con cui giocare.";"Bitte wähle das Team aus, dem du dich anschließen möchtest.";"Por favor elija un equipo para jugar.";"Необходимо выбрать команду для игры.";"Будь ласка, оберіть команду для гри.";"Proszę wybrać drużynę do gry.";"Por favor, escolha uma equipe para jogar.";"Oynamak için lütfen bir takım seçin.";"팀을 선택하십시오.";"请\t选\t择\t一\t支\t队\t伍\t加\t入。";"プレイする\tチームを\t選択して\t下さい。";"請\t選\t擇\t一\t個\t隊\t伍\t加\t入";;
"matching/LOBBY_WRONG_TEAM";"The chosen team is not available.";"L'équipe choisie n'est pas disponible.";"La squadra scelta non è disponibile.";"Das ausgewählte Team ist nicht verfügbar.";"El equipo elegido no está disponible.";"Выбранная команда недоступна для игры.";"Обрана команда недоступна.";"Wybrana drużyna nie jest dostępna.";"A equipe escolhida não está disponível.";"Seçili takım müsait değil.";"선택한 팀으로 활동할 수 없습니다.";"无\t法\t加\t入\t该\t队。";"選択した\tチームは\t無効です。";"無\t法\t加\t入\t選\t擇\t的\t隊\t伍";;
"matching/LOBBY_TEAM_IS_LOCKED";"The chosen team is blocked during session.";"L'équipe sélectionnée est bloquée pendant la session.";"La squadra scelta è bloccata durante la sessione.";"Dieses Team wurde für die Spielsitzung ausgeschlossen.";"El equipo elegido está bloqueado durante la sesión.";"Выбранная команда заблокирована на время сессии.";"Обрану команду заблоковано протягом сесії.";"Wybrana drużyna jest zablokowana w trakcie sesji.";"A equipe escolhida está bloqueada durante a sessão.";"Seçilen takım oturum süresince engellidir.";"선택한 팀은 세션 도중 차단되었습니다.";"该\t队\t已\t锁\t定，\t无\t法\t加\t入。";"選択した\tチームは\tセッションの\t間、\tブロックされています。";"該\t隊\t已\t鎖\t定，\t無\t法\t加\t入。";;
"matching/LOBBY_HOST_ALREADY_IN_ROOM";"The game session has already started.";"La session de jeu est déjà commencée.";"La sessione di gioco è già iniziata.";"Diese Spielsitzung hat bereits begonnen.";"La sesión de juego ya comenzó.";"Игровая сессия уже запущена.";"Ігрова сесія вже почалась.";"Sesja rozgrywki już się rozpoczęła.";"A sessão de jogo já começou.";"Oyun oturumu zaten başladı.";"게임 세션이 이미 시작되었습니다.";"游\t戏\t已\t开\t始。";"ゲームの\tセッションが\t既に\t開始されています";"遊\t戲\t場\t次\t已\t經\t開\t始\t了";;
"matching/LOBBY_LOBBY_IS_DISBALANCED";"You cannot play on this team. Please choose another one.";"Vous ne pouvez pas jouer dans cette équipe. Essayer d'en choisir une autre.";"Non puoi giocare in questa squadra. Prova a sceglierne un'altra.";"Du kannst dich diesem Team nicht anschließen. Bitte wähle ein anderes Team aus.";"No puede jugar en este equipo. Por favor intente elegir otro.";"Вы не можете играть за выбранную команду. Попробуйте выбрать другую.";"Ви не можете грати за цю команду. Будь ласка, спробуйте обрати іншу.";"Nie możesz zagrać w tej drużynie. Spróbuj wybrać inną.";"Você não pode jogar nesta equipa. Por favor, tente escolher outra.";"Bu takımda oynayamazsın. Başka bir takım seçmeyi dene.";"이 팀으로 플레이할 수 없습니다. 다른 팀을 선택하십시오.";"无\t法\t加\t入\t该\t队。\t请\t选\t择\t另\t一\t支\t队\t伍。";"この\tチームで\tプレイすることは\t来ません。\t別の\tチームを\t選択して\t下さい。";"你\t無\t法\t加\t入\t這\t個\t隊\t伍，\t請\t選\t擇\t另\t一\t個\t隊\t伍";;
"matching/MATCH_SESSION_IS_NOT_AVAILABLE";"The game session is not found.";"La session de jeu est introuvable.";"Sessione di gioco non trovata.";"Diese Spielsitzung wurde nicht gefunden.";"Sesión de juego no encontrada.";"Игровая сессия не найдена.";"Ігрова сесія не знайдена.";"Sesja rozgrywki nie została znaleziona.";"A sessão de jogo não foi encontrada.";"Oyun oturumu bulunamadı.";"게임 세션을 찾을 수 없습니다.";"未\t找\t到\t该\t游\t戏。";"ゲームセッションが\t見つかりません";"未\t找\t到\t該\t遊\t戲。";;
"matching/MATCH_WRONG_CLAN";"You cannot join the game session for this team because there are players from your squadron in the opposite team.";"Vous ne pouvez pas rejoindre la session pour cette équipe, il a y des joueurs de votre escadron dans l'équipe adverse.";"Non puoi unirti alla sessione di gioco poichè ci sono giocatori della tua squadriglia nella squadra avversaria.";"Du kannst dich dem gewählten Team für diese Schlacht nicht anschließen, da sich Spieler deiner Kampfgruppe im gegnerischen Team befinden.";"No puede unirse a la sesión de juego por este equipo porque hay jugadores de su escuadra en el equipo contrario.";"Невозможно вступить в бой за выбранную команду, так как в противоположной команде есть игроки из вашего полка.";"Неможливо вступити в бій за обрану команду, так як в протилежній команді є гравці з вашого полку.";"Nie możesz dołączyć do sesji rozgrywki jako członek tej drużyny, ponieważ część graczy z Twojego dywizjonu znajduje się w przeciwnej drużynie.";"Não pode entrar na sessão de jogo por esta equipa porque há jogadores do seu esquadrão na equipa oposta.";"Oyun oturumuna bu takım için katılamazsınız çünkü rakip takımda filonuzdan oyuncular bulunmaktadır.";"같은 비행대원이 상대팀에 있기 때문에 선택한 팀으로 입장할 수 없습니다.";"由\t于\t来\t自\t同\t一\t联\t队\t的\t玩\t家\t已\t经\t加\t入\t了\t另\t一\t支\t队\t伍，\t无\t法\t加\t入\t该\t队\t伍。";"相手\tチームにあなたの\t部隊の\tプレイヤーがいるため、\tこの\tチームの\tゲームセッションに\t参加できません。";"由\t於\t來\t自\t同\t一\t聯\t隊\t的\t玩\t家\t已\t經\t加\t入\t了\t另\t一\t支\t隊\t伍，\t無\t法\t加\t入\t該\t隊\t伍。";;
"matching/MATCH_RECONNECT_NOT_ALLOWED";"Reconnect is not allowed in this game mode.";"La reconnexion n'est pas autorisée dans ce mode de jeu.";"Non è consentito riconnettersi in questa modalità di gioco.";"Das Wiederverbinden ist für diesem Spielmodus nicht zugelassen.";"No está permitido volver a conectarse en este modo de juego.";"В данном режиме игры не доступно повторное подключение к битве.";"Повторне підключення не доступне в цьому режимі гри.";"Ponowne dołączenie nie jest dozwolone w tym trybie.";"Reconectar-se não é permitido nesse modo de jogo.";"Bu oyun modunda yeniden bağlantıya izin verilmez.";"이 게임 모드에선 재접속이 허용되지 않습니다.";"该\t游\t戏\t模\t式\t中\t不\t允\t许\t断\t线\t重\t连。";"この\tゲームモードでは\t再接続は\t許可されていません。";"這\t個\t游\t戲\t模\t式\t無\t法\t斷\t線\t後\t重\t新\t連\t線";;
