"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"clan/find_clan";"Find a Squadron: ";"Trouver un Escadron: ";"Trova una Squadriglia: ";"Kampfgruppe suchen: ";"Encontrar un escuadrón: ";"Найти полк";"Znajdź Dywizjon: ";"Encontre um esquadrão: ";"Bir Filo Bul: ";"비행대 검색: ";"搜\t寻\t联\t队：";"部隊を\t探す: ";"搜\t尋\t聯\t隊: ";;
"clan/nothing_found";"Nothing found!";"Rien trouvé !";"Non è stato trovato nulla!";"Keine Ergebnisse!";"¡Nada encontrado!";"По запросу ничего не найдено!";"Nic nie znaleziono!";"Nada encontrado!";"Hiçbir şey bulunamadı!";"찾을 수 없습니다.";"未\t找\t到\t相\t关\t结\t果！";"何も\t見つかりませんでした！";"沒\t有\t搜\t尋\t到\t任\t何\t資\t訊";;
"clan/battle_season/reward_description";"The top 3 squadrons receive: (divided equally among the top %d players of the clan)";"Les 3 premiers escadrons recevront : (divisé à part égale entre les %d meilleurs joueurs du clan)";"Le prime 3 squadriglie riceveranno: (divisi equalmente tra i primi %d giocatori della squadriglia)";"Die drei besten Kampfgruppen erhalten (jeweils auf die %d besten Spieler aufgeteilt):";"Los 3 mejores escuadrones recibirán: (dividido en partes iguales entre los jugadores del top %d del clan)";"Награда присуждается первым 3 местам: (выигрыш будет поделен поровну между %d участниками полка)";"Trzy najlepsze dywizjony otrzymują: (podzielone równo pomiędzy %d najlepszych graczy)";"Os três primeiros clãs recebem: (dividido igualmente entre os %d melhores jogadores do esquadrão)";"En iyi 3 filo ödülü: (en iyi %d filo oyuncuları arasında eşit olarak bölünür)";"보상 대상 상위 3개 비행대: (비행대 상위 %d 명의 플레이어에게 같은 액수로 나눠집니다.)";"冠\t亚\t季\t军\t联\t队\t将\t分\t别\t获\t得\t（由\t队\t内\t排\t名\t前 %d 的\t玩\t家\t均\t分）：";"トップ\t3部隊報酬: (上位%d\tプレイヤーで\t分割)";"前\t三\t名\t聯\t隊\t將\t獲\t得：\t(由\t隊\t內\t排\t名\t前 %d 的\t玩\t家\t均\t分)";;
"clan/battle_season/title";"Current squadron's battle season";"Saison actuelle des batailles d'escadron";"Stagione di battaglia attuale della squadriglia";"Aktuelle Saison der Kampfgruppen-Gefechte";"Temporada de batallas del escuadrón actual";"Текущий сезон полковых боев";"Sezon walk obecnego dywizjonu";"Temporada atual das batalhas de esquadrão";"Mevcut filonun savaş sezonu";"현재 비행대 전투 시즌";"当\t前\t联\t队\t锦\t标\t赛\t季";"現在の\t部隊戦\tシーズン";"目\t前\t聯\t隊\t錦\t標\t賽\t賽\t季";;
"clan/battle_season/place_1";"I place";"Place I";"1° Posto";"I. Platz";"1er lugar";"I место";"I miejsce";"I lugar";"1. sıra";"1위";"冠\t军";"I 位";"冠\t軍";;
"clan/battle_season/place_2";"II place";"Place II";"2° Posto";"II. Platz";"2do Lugar";"II место";"II miejsce";"II lugar";"2. sıra";"2위";"亚\t军";"II 位";"亞\t軍";;
"clan/battle_season/place_3";"III place";"Place III";"3° Posto";"III. Platz";"3er Lugar";"III место";"III miejsce";"III lugar";"3. sıra";"3위";"季\t军";"III 位";"季\t軍";;
"clan/battle_season/ends";"Ends in";"Termine dans";"Termina il";"Endet in";"Termina en";"Закончится";"Koniec";"Termina em";"Bitmesine Kalan Süre";"종료";"结\t束\t时\t间";"終了まで";"結\t束\t於";;
"clan/battle_season/coming_soon";"Squadron Battle Season is coming soon";"La saison de batailles d'escadron sera disponible prochainement";"La Stagione delle Battaglie Squadriglia è in arrivo";"Die Kampfgruppensaison kommt bald";"Temporada de Batallas de Escuadrón comenzará pronto";"Cезон полковых боёв скоро начнётся";"Sezon Bitew Dywizjonów wkrótce się rozpocznie";"Temporada das Batalhas de Esquadrão começará em breve";"Filo Muharebesi Sezonu yakında geliyor";"비행대 전투 시즌이 곧 돌아옵니다";"联\t队\t锦\t标\t赛\t季\t即\t将\t开\t始";"部隊\tバトルの\tシーズンがまもなくやって\t来ます";"聯\t隊\t錦\t標\t賽\t季\t即\t將\t開\t始";;
"clan/battle_season/name";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";"{year}-{num}";;
"clan/season_award/title";"{achievement} in {battleType} in {season}";"{achievement} en {battleType} en {season}";"{place} in {battleType} in {season}";"{achievement} in {battleType} in {season}";"{achievement} en {battleType} durante {season}";"{achievement} в {battleType} в сезоне {season}";"{achievement} w {battleType} w {season}";"{achievement} em {battleType} na {season}";"{season} içinde {battleType} modunda {achievement}";"{battleType} 의 {season} 에서 {achievement} 달성";"{season}：\t在\t{battleType}\t中\t获\t得\t了\t{achievement}";"{season} で {battleType} で {achievement}";"在 {season} 的 {battleType} 獲\t得 {achievement} ";;
"clan/season_award/desc/place";"Squadron {squadron} won {place} in squadron {battleType} in season {season}.";"L’Escadron {squadron} a remporté {place} dans l'escadron {battleType} de la saison {season}.";"La squadriglia {squadron} ha ottenuto il {place} nella stagione {season} nella {battleType} di squadriglia.";"Die Kampfgruppe {squadron} erreichte den {place} in Kampfgruppen {battleType} der Saison {season}.";"Escuadrón {squadron} obtuvo {place} en {battleType} de Escuadrón durante la temporada {season}.";"Полк {squadron} занял {place} в полковых {battleType} в сезоне {season}.";"Dywizjon {squadron} był {place} w {battleType} w {season} sezonie.";"Esquadrão {squadron} venceu {place} em {battleType} de Esquadrão na temporada {season}.";"Filo {squadron} {season} sezonunda {battleType} modunda {place} kazandı.";"{squadron} 비행대가 {season} 시즌의 비행대 {battleType} 에서 {place}를 기록했습니다.";"{season}：\t{squadron} 联\t队\t在 {battleType} 模\t式\t联\t队\t战\t中\t获\t得\t了 {place} 名。";"シーズン{season} の{battleType} で{squadron} 部隊が{place} を\t獲得しました。";"聯\t隊 {squadron} 在\t賽\t季 {season} 中\t於\t聯\t隊\t模\t式 {battleType} 中\t獲\t得 {place} 名";;
"clan/season_award/desc/top";"Squadron {squadron} reached the {top} in squadron {battleType} in season {season}.";"L'Escadron {squadron} a atteint le {top} en Escadron {battleType} de la saison {season}.";"La squadriglia {squadron} ha ottenuto il {top} nella stagione {season} nella {battleType} di squadriglia.";"Die Kampfgruppe {squadron} erreichte den {top} in Kampfgruppen {battleType} der Saison {season}.";"Escuadrón {squadron} alcanzó el {top} lugar en {battleType} de Escuadrón durante la temporada {season}.";"Полк {squadron} попал в {top} в полковых {battleType} в сезоне {season}.";"Dywizjon {squadron} osiągnął {top} w {battleType} w {season} sezonie.";"Esquadrão {squadron} atingiu o {top} em {battleType} de Esquadrão na temporada {season}.";"Filo {squadron} {season} sezonunda {battleType} modunda {top} erişti.";"{squadron} 비행대가 {season} 시즌의 비행대 {battleType} 에서 {top}에 올랐습니다.";"{season}：\t{squadron} 联\t队\t在 {battleType} 模\t式\t联\t队\t战\t中\t获\t得\t了\t{top}。";"シーズン{season} の {battleType} で{squadron} 部隊が {top} に\t到達しました。";"聯\t隊 {squadron} 在\t賽\t季 {season} 中\t於\t聯\t隊\t模\t式 {battleType} 中\t達\t到 {top} ";;
"clan/season_award/desc/rating";"Squadron {squadron} earned {ratingValue} rating in squadron {battleType} in season {season}.";"L'Escadron {squadron} a obtenu la cote {ratingValue} en Escadron {battleType} de la saison {season}.";"La Squadriglia {squadron} ha raggiunto il {ratingValue} posto nella stagione {season} nelle battaglie {battleType}.";"Die Kampfgruppe {squadron} errang eine Wertung von {ratingValue} in Kampfgruppen {battleType} der Saison {season}.";"Escuadrón {squadron} obtuvo {ratingValue} en {battleType} de Escuadrón durante la temporada {season}.";"Полк {squadron} заработал рейтинг {ratingValue} в полковых {battleType} в сезоне {season}.";"Dywizjon {squadron} otrzymał {ratingValue} ocenę w {battleType} w sezonie {season}.";"Esquadrão {squadron} conquistou {ratingValue} de classificação em {battleType} de Esquadrão na temporada {season}.";"Filo {squadron} {season} sezonunda {battleType} modunda {ratingValue} derecesini kazandı.";"{squadron} 대대가 {season} 시즌의 {battleType}에서 {ratingValue} 등급을 받았습니다.";"{season}：\t{squadron}\t联\t队\t在\t{battleType}\t中\t获\t得\t了 {ratingValue} 评\t分。";"シーズン{season} の {battleType} で{squadron} 部隊が {ratingValue} レーティングを\t獲得しました。";"聯\t隊 {squadron} 在\t賽\t季 {season}\t中\t於\t聯\t隊\t模\t式 {battleType} 中\t獲\t得 {ratingValue} 積\t分";;
"clan/season_award/place/place1";"1st place";"1ère place";"1° posto";"I. Platz";"1er Lugar";"1-е место";"1 miejsce";"1º lugar";"1. sıra";"1위";"冠\t军";"1位";"冠\t軍";;
"clan/season_award/place/place2";"2nd place";"2ème place";"2° posto";"II. Platz";"2 º Lugar";"2-е место";"2 miejsce";"2º lugar";"2. sıra";"2위";"亚\t军";"2位";"亞\t軍";;
"clan/season_award/place/place3";"3rd place";"3ème place";"3° posto";"III. Platz";"3er Lugar";"3-е место";"3 miejsce";"3º lugar";"3. sıra";"3위";"季\t军";"3位";"季\t軍";;
"clan/season_award/place/placeN";"{placeNum} place";"{placeNum}e place";"{placeNum} posto";"{placeNum}. Platz";"{placeNum} Lugar";"{placeNum}-е место";"{placeNum} miejsce";"{placeNum} lugar";"{placeNum} sıra";"{placeNum}위";"{placeNum} 名";"{placeNum} 位";"{placeNum} 名";;
"clan/season_award/place/top";"Top {top}";"Top {top}";"I Migliori {top}";"Top {top}";"Top {top}";"Топ {top}";"Pierwsza {top}";"Top {top}";"En iyi {top}";"최고 {top}";"前 {top}";"トップ {top}";"前 {top}";;
"clan/season_award/rating";"Rating {ratingValue}";"Cote {ratingValue}";"Posizione {ratingValue}";"Wertung {ratingValue}";"Puesto {ratingValue}";"Рейтинг {ratingValue}";"Ocena {ratingValue}";"Classificação {ratingValue}";"Derecelendirme {ratingValue}";"{ratingValue} 등급";"评\t分 {ratingValue}";"レーディング {ratingValue}";"評\t分 {ratingValue}";;
"clan/season_award/desc/lower_places_awards_included";"Plus also rewards for previous places";"Et également des récompenses pour les places précédentes";"Ed anche ricompense per posizioni precedenti";"Sowie Belohnungen für vorangehende Platzierungen";"Y además premios por posiciones previas";"А также награды за предыдущие места";"Oraz nagrody za poprzednie miejsca";"Além dos outros prêmios anteriores ";"Ve ayrıca önceki yerler için ödüller";"및 이전 순위에 대한 보상";"同\t时\t也\t会\t获\t得\t更\t低\t排\t名\t的\t奖\t励";"前回の\t順位の\t報酬";"同\t時\t也\t會\t獲\t得\t更\t低\t排\t名\t的\t獎\t勵";;
"clan/season_award_ww/title";"{achievement} in {season}";"{achievement} dans {season}";"{achievement} in {season}";"{achievement} in {season}";"{achievement} en {season}";"{achievement} в сезоне {season}";"{achievement} w {season}";"{achievement} em {season}";"{season} içerisindeki {achievement} başarımı";"{season} 에서 {achievement} 달성";"{season}：\t获\t得\t了\t{achievement}";"{season} の{achievement}";"{season}：\t獲\t得\t了\t{achievement}";;
"clan/season_award_ww/desc/place";"Squadron {squadron} won {place} in season {season}.";"L’escadron {squadron} a gagné {place} dans la saison {season}.";"La Squadriglia {squadron} ha vinto il {place} nella stagione {season}.";"Kampfgruppe {squadron} gewann den {place} in Saison {season}.";"Escuadrón {squadron} obtuvo {place} en temporada {season}.";"Полк {squadron} занял {place} в сезоне {season}.";"Dywizjon {squadron} zajął {place} w sezonie {season}.";"Esquadrão {squadron} conquistou o {place} na temporada {season}.";"{squadron} filosu {season} sezonunda {place} sıralamasını kazandı.";"비행대 {squadron} 이(가) 시즌 {season} 에 {place} 을(를) 차지함";"{season}：\t联\t队 {squadron} 获\t得\t了 {place} 名。";" {squadron} 部隊が\tシーズン {season} で {place} 位になりました。";"聯\t隊 {squadron} 在\t賽\t季 {season} 中\t獲\t得 {place} 名";;
"clan/season_award_ww/desc/top";"Squadron {squadron} reached the {top} in season {season}.";"L’escadron {squadron} a atteint le {top} dans la saison {season}.";"La Squadriglia {squadron} ha raggiunto il {top} nella stagione {season}.";"Die Kampfgruppe {squadron} erreichte den {top} in Kampfgruppen {season} der Saison.";"Escuadrón {squadron} alcanzó el {top} en temporada {season}.";"Полк {squadron} попал в {top} в сезоне {season}.";"Dywizjon {squadron} osiągnął {top} w sezonie {season}.";"Esquadrão {squadron} atingiu o {top} na temporada {season}.";"{squadron} filosu {season} sezonunda {top} kazananı oldu.";"비행대 {squadron} 이(가) 시즌 {season} 에 {top} 을(를) 달성함";"{season}：\t联\t队 {squadron} 获\t得\t了\t{top}。";"シーズン の {season} で{squadron} 部隊が {top} に\t到達しました。";"聯\t隊 {squadron} 在\t賽\t季 {season} 中\t達\t到 {top} ";;
"clan/season_award_ww/desc/rating";"Squadron {squadron} earned {ratingValue} rating in season {season}.";"L'escadron {squadron} a obtenu la côte {ratingValue} dans la saison {season}.";"La Squadriglia {squadron} ha ottenuto {ratingValue} punti nella stagione {season}.";"Die Kampfgruppe {squadron} errang eine Wertung von {ratingValue} in Kampfgruppen {season} der Saison.";"Escuadrón {squadron} alcanzó el puntaje {ratingValue} en temporada {season}.";"Полк {squadron} заработал рейтинг {ratingValue} в сезоне {season}.";"Dywizjon {squadron} otrzymał ocenę {ratingValue} w sezonie {season}.";"Esquadrão {squadron} pontuou {ratingValue} na temporada {season}.";"{squadron} filosu {season} sezonunda {ratingValue} kazandı.";"비행대 {squadron} 이(가) 시즌 {season} 에 {ratingValue} 레이팅을 획득함";"{season}：\t联\t队 {squadron} 获\t得\t了 {ratingValue} 评\t分。";"シーズン の {season} で{squadron} 部隊が {ratingValue} レーティングを\t獲得しました。";"聯\t隊 {squadron} 在\t賽\t季 {season} 中\t獲\t得 {ratingValue} 評\t分";;
"clan/back_to_clanlist";"To Squadrons List";"Vers liste des escadrons";"Lista delle Squadriglia";"Zur Kampfgruppenliste";"A la lista de escuadrones";"К списку полков";"Do Listy Dywizjonów";"Lista dos esquadrões";"Filo Listesine Dön";"비행대 목록으로 돌아가기";"返\t回\t联\t队\t列\t表";"部隊\tリストへ";"返\t回\t聯\t隊\t列\t表";;
"clan/stats";"Statistics";"Statistiques de l'escadron";"Statistiche";"Kampfgruppenstatistik";"Estadísticas del escuadrón";"Статистика";"Statystyki";"Estatísticas do esquadrão";"İstatistikler";"비행대 전적";"数\t据\t统\t计";"部隊の\t統計情報";"統\t計";;
"clan/creationDate";"Creation Date:";"Date de création :";"Data di creazione:";"Gründungsdatum:";"Fecha de creación:";"Дата создания:";"Data Utworzenia:";"Data de criação:";"Oluşturma Tarihi:";"창설일:";"创\t建\t日\t期：";"結成日:";"創\t建\t日\t期:";;
"clan/lastChanges";"Previous Changes";"Modifications précédentes";"Ultime Modifiche";"Bisherige Änderungen";"Cambios previos";"Последние изменения";"Ostatnie zmiany";"Mudanças anteriores";"Önceki Değişiklikler";"이전 변경 내용";"上\t一\t次\t修\t改";"前回の\t変更";"之\t前\t的\t變\t更";;
"clan/memberListTitle";"Members";"Membres";"Membri";"Kampfgruppenmitglieder";"Miembros";"Состав";"Członkowie";"Membros do esquadrão";"Üyeler";"대원";"成\t员";"部隊\tメンバー";"聯\t隊\t成\t員";;
"clan/akills";"Air Targets Destroyed";"Cibles aériennes détruites";"Bersagli aerei distrutti";"Zerstörte Luftziele";"Objetivos aéreos destruidos";"Уничтожено воздушных целей";"Zniszczone cele powietrzne";"Alvos aéreos destruídos";"Yok edilen hava hedefleri";"공중 목표 격추";"空\t中\t目\t标\t击\t坠\t数";"撃墜した\t空中目標";"空\t中\t目\t標\t摧\t毀\t數";;
"clan/gkills";"Ground Targets Destroyed";"Cibles terrestres détruites";"Bersagli terrestri distrutti";"Zerstörte Bodenziele";"Objetivos terrestres destruidos";"Уничтожено наземных целей";"Zniszczone cele naziemne";"Alvos terrestres destruídos";"Yok edilen yer hedefleri";"지상 목표 격파";"地\t面\t单\t位\t摧\t毁\t数";"撃破した\t地上目標";"地\t面\t目\t標\t摧\t毀\t數";;
"clan/rating";"Personal squadron rating";"Cote personnelle dans l'Escadron";"Valutazione squadriglia personale";"Individueller Kampfgruppen-Gefechtswert";"Evaluación Personal en el Escuadrón";"Личный полковой рейтинг";"Osobista ocena Dywizjonu";"Avaliação pessoal do esquadrão";"Kişisel filo derecelendirmesi";"비행대 내 개별 등급";"联\t队\t个\t人\t评\t分";"個人部隊\tレート";"聯\t隊\t個\t人\t評\t分";;
"clan/squadron_rating";"Squadron rating";"Niveau de l'escadron";"Classifica Squadriglia";"Kampfgruppen-Gefechtswert";"Puntuación del escuadrón";"Рейтинг полка";"Ocena Dywizjonu";"Classificação do Esquadrão";"Filo derecesi";"비행대 평가 지수";"联\t队\t评\t分";"部隊\tレート";"聯\t隊\t評\t分";;
"clan/activity";"Activity";"Activité";"Attività";"Aktivität";"Actividad";"Активность";"Aktywność";"Atividade";"Faaliyet";"활동량";"活\t跃\t度";"アクティビティ";"活\t躍\t度";;
"clan/vehicles";"Squadron vehicles";"Véhicules d'escadron";"Unità di Squadriglia";"Kampfgruppen-Fahrzeuge";"Vehículos de Escuadrón";"Полковая техника";"Maszyny dywizjonowe";"Veículos de Esquadrão";"Filo araçları";"비행대 장비";"联\t队\t载\t具";"部隊兵器";"聯\t隊\t載\t具";;
"clan/squadron_activity";"Squadron activity";"Activité de l'escadron";"Attività Squadriglia";"Kampfgruppen-Aktivität";"Actividad del Escuadrón";"Активность полка";"Aktywność Dywizjonu";"Atividade do Esquadrão";"Filo aktivitesi";"비행대 활동량";"联\t队\t活\t跃\t程\t度";"部隊活動";"聯\t隊\t活\t躍\t度";;
"clan/my_activity";"My activity";"Mon activité";"La mia attività";"Meine Aktivität";"Mi actividad";"Моя активность";"Moja aktywność";"Minha atividade";"Benim aktivitem";"나의 활동";"本\t人\t活\t跃\t度";"貢献率";"本\t人\t活\t躍\t度";;
"clan/activity/progress/desc";"To get the maximum reward your personal activity should be equal or higher than the squadron activity. If your activity is lower, the amount of your reward will depend on the ratio of your activity to the total activity of your squadron.";"Afin d'obtenir la récompense maximale, votre activité personnelle doit être supérieure ou égale à celle de l'escadron. Si votre activité est inférieure, le total de votre récompense dépendra du rapport entre votre activité et l'activité totale de votre escadron.";"Per ottenere la ricompensa massima, la tua attività personale dovrebbe essere uguale o maggiore dell'attività di squadriglia. Se la tua attività è minore, l'ammontare della tua ricompensa dipenderà dal rapporto tra la tua attività e quella totale della squadriglia.";"Um die maximale Belohnung zu erhalten, sollte deine persönliche Aktivität gleich oder höher sein als die Kampfgruppenaktivität. Wenn deine Aktivität geringer ist, hängt die Höhe deiner Belohnung vom Verhältnis deiner Aktivität zur Gesamtaktivität der Kampfgruppe ab.";"Para obtener la máxima recompensa su actividad personal debe ser igual o superior a la actividad del escuadrón. Si su actividad es menor, la cantidad de recompensa dependerá de la proporción entre su actividad y la actividad total de su escuadrón.";"Чтобы получить максимальную награду, необходимо, чтобы ваша активность была выше или равна активности полка. Если ваша активность меньше, то размер награды зависит от отношения набранной вами активности к общей активности полка.";"Aby uzyskać maksymalną nagrodę aktywność osobista musi być równa lub wyższa od aktywności dywizjonu. Jeśli twoja aktywność jest mniejsza, nagroda będzie zależeć od stosunku twojej aktywności do aktywności dywizjonu.";"Para receber a recompensa máxima a sua atividade pessoal tem de ser igual ou superior à atividade do Esquadrão. Se a sua atividade é inferior, o valor da sua recompensa irá depender da proporção da sua atividade pela atividade total do Esquadrão. ";"Maksimum ödülü almak için kişisel aktiviteniz filo aktivitesine denk veya daha yüksek olmalı. Eğer aktiviteniz düşük ise aldığınız ödül sizin aktiviteniz ile filonuzun toplam aktivitesinin oranına göre olacaktır.";"최대 보상을 얻으려면 당신의 개인 활동량이 비행대 활동량보다 같거나 높아야 합니다. 만약 당신의 활동량이 더 낮다면 보상은 비행대 전체 활동량과 당신의 활동량의 비에 따라 결정됩니다.";"当\t个\t人\t活\t跃\t度\t大\t于\t等\t于\t联\t队\t活\t跃\t度\t时\t才\t能\t获\t得\t最\t高\t报\t酬。\t反\t之，\t若\t活\t跃\t度\t低\t于\t联\t队\t活\t跃\t度，\t则\t会\t按\t比\t例\t折\t算\t报\t酬。";"最大限の\t報酬を\t獲得するためには、\t個人貢献率が\t部隊貢献率と\t同等、\tもしくはそれ\t以上の\t貢献率を\t獲得する\t必要があります。\t個人貢献率が\t部隊貢献率よりも\t低い\t場合、\t部隊の\t合計貢献率に\t対する\t個人の\t貢献率の\t比率により、\t報酬は\t変化します。";"要\t獲\t得\t最\t大\t獎\t勵，\t你\t的\t個\t人\t活\t躍\t度\t應\t該\t等\t於\t或\t高\t於\t聯\t隊\t活\t躍\t度，\t如\t果\t活\t躍\t度\t較\t低，\t你\t的\t獎\t勵\t將\t會\t以\t個\t人\t活\t躍\t度\t與\t聯\t隊\t總\t活\t躍\t度\t的\t比\t例\t分\t配";;
"clan/activity/progress/desc_all_researched";"All squadron vehicles already researched";"Tous les véhicules d'escadron sont déjà recherchés";"Tutte le unità squadriglia sono state già ricercate";"Alle Kampfgruppenfahrzeuge sind bereits erforscht";"Todos los vehículos de escuadrón ya han sido investigados";"Вся полковая техника исследована";"Zbadano wszystkie pojazdy dywizjonowe";"Todos os veículos de Esquadrão encontram-se pesquisados";"Bütün filo araçları zaten araştırıldı";"이미 모든 비행대 장비의 연구를 완료했음";"所\t有\t联\t队\t载\t具\t均\t已\t完\t成\t研\t发";"全ての\t部隊兵器の\t研究が\t完了しています";"所\t有\t聯\t隊\t載\t具\t已\t經\t研\t發\t完\t成";;
"clan/activity/progress/desc_no_progress";"There is no activity for current period.";"Il n'y pas d'activité pour la période actuelle.";"Non c'è attività per il periodo corrente.";"Für die aktuelle Periode gibt es keine Aktivität.";"No hay actividad para el período actual.";"Нет активности за текущий период";"Brak aktywności w obecnym okresie";"Não há atividade para o período corrente.";"Mevcut dönem için bir aktivite yok.";"현재 분기 활동량 없음";"当\t期\t无\t活\t跃\t度\t统\t计。";"現在、\t貢献率はありません。";"當\t期\t無\t活\t躍\t度\t統\t計。";;
"clan/personal/nick/desc";"Player name";"Nom du joueur";"Nome giocatore";"Spielername";"Nombre del Jugador";"Имя игрока";"Nazwa gracza";"Nome do Jogador";"Oyuncu ismi";"이름";"玩\t家\t名\t称";"プレイヤー\t名";"玩\t家\t名\t稱";;
"clan/personal/activity/desc";"Player activity is the sum of activity points gathered by the player during the last {historyDepth} days. Activity points are earned in all battles in which Research Points are accrued for vehicles. One activity point is given for every 200 RP. Each player can earn up to 360 activity points for the three-day period. Activity is reset when leaving the squadron.";"L'activité du joueur est la somme des points d'activité obtenus par le joueur pendant les {historyDepth} derniers jours. Les points d'activité sont obtenus dans toutes les batailles quand des points de recherche sont assignés à des véhicules. Un point d'activité est donné pour 200 RP. Chaque joueur peut gagner 120 points activité par jour.";"L'attività del giocatore è la somma dei punti attività ottenuti durante gli ultimi {historyDepth} giorni. I punti attività si ottengono in tutte le battaglie in cui le unità accumulano Punti Ricerca. Ogni 200 PR si ottiene un punto attività. Ogni giocatore può accumulare fino a 360 punti attività ogni tre giorni. L'attività viene azzerata lasciando la squadriglia.";"Spieleraktivität beschreibt die Summe der Aktivitätspunkte, die der Spieler in den letzten 14 Tagen erspielt hat. Aktivitätspunkte werden in allen Schlachten gesammelt, in denen Forschungspunkte zu den Fahrzeugen gutgeschrieben werden. Für 200 RP wird ein Aktivitätspunkt angegeben. Jeder Spieler kann an drei Tagen bis zu 360 Aktivitätspunkte sammeln.";"La Actividad del Jugador es la suma de puntos de actividad conseguidos por el jugador durante los últimos {historyDepth} días. Los puntos de actividad se obtienen en todas las batallas en las que se hayan asignado Puntos de Investigación a los vehículos. Se otorga un punto de actividad por cada 200 RP. Cada jugador puede obtener hasta 360 puntos de actividad diarios en un periodo de tres días. La actividad se restablece al abandonar el escuadrón.";"Активность игрока - сумма очков активности, которые были набраны этим игроком за последние {historyDepth} дней. Активность зарабатывается во всех боях, где начисляются Очки Исследований в технику. За каждые 200 ОИ даётся одно очко активности. В течение трёх дней каждый игрок может заработать до 360 очков активности. Активность обнуляется при покидании полка.";"Aktywność gracza to suma punktów aktywności zgromadzonych przez gracza w ciągu ostatnich {historyDepth} dni. Punkty aktywności przyznawane są we wszystkich bitwach, w których naliczane do pojazdów są Punkty Badań. Jeden punkt aktywności jest przyznawane za każde 200 RP. Każdy gracz codziennie może zdobyć do 360 punktów aktywności.";"Atividade do jogador é a soma dos pontos de atividade feitos pelo jogador durante os últimos {historyDepth} dias. Pontos de atividade são ganhos em todas as batalhas em que ganha Pontos de Pesquisa para o veículo desejado. Um ponto de atividade é obtido a cada 200 PP. Cada jogador pode obter até 360 pontos de atividade em três dias. A atividade é zerada ao sair do esquadrão.";"Oyuncu aktivitesi son {historyDepth} gün içerisinde oyuncu tarafından toplanmış puanların toplamıdır. Aktivite puanları araçlar için Araştırma Puanlarının kazanıldığı bütün savaşlarda kazanılır. Her 200 AP için bir aktivite puanı verilir. Üç-gün süreç içerisinde her oyuncu en fazla 360 aktivite puanı kazanabilir. Aktivite, filodan ayrılma sonrası sıfırlanır.";"플레이어 활동량은 지난 {historyDepth}일간 해당 플레이어가 모은 활동량 점수의 합계입니다. 활동량 점수는 장비에 연구 점수를 쌓을 수 있는 모든 전투를 통해 획득할 수 있습니다. 활동량 점수는 매 200 RP마다 1점씩 주어지며 매 3일 동안 360점까지 얻을 수 있습니다. 비행대를 떠나게 될 경우 활동량이 초기화됩니다.";"玩\t家\t活\t跃\t度\t是\t依\t据\t过\t去 {historyDepth} 天\t的\t平\t均\t作\t战\t活\t跃\t度\t计\t算\t的。\t只\t要\t是\t能\t获\t得\t研\t发\t点\t的\t任\t务，\t就\t会\t被\t纳\t入\t考\t量。\t每 200 研\t发\t点\t记\t为 1 活\t跃\t点。\t玩\t家\t每 3 天\t可\t至\t多\t获\t得 360 活\t跃\t点。\t退\t出\t联\t队\t后\t活\t跃\t度\t将\t会\t清\t零。";"プレイヤーアクティビティーは、\tプレイヤーが\t直近\t14日間で\t集めた\tアクティビティーポイントの\t合計です。\tアクティビティーポイントはすべての\t戦闘で\t獲得でき、\tリサーチポイントは\t車両に\t加算されます。\tまた、\t200RPごとに\t1\tアクティビティーポイントが\t付与されます。\t各\tプレイヤーは、\t1日最大\t120\tアクティビティーポイントを\t獲得可能です。";"玩\t家\t活\t躍\t度\t是\t玩\t家\t在\t過\t去\t14\t天\t內\t所\t有\t活\t躍\t點\t數\t的\t總\t和，\t活\t躍\t點\t數\t為\t所\t有\t戰\t鬥\t中\t獲\t得\t用\t於\t研\t究\t載\t具\t科\t技\t的\t研\t發\t點\t數，\t每\t200\t個\t研\t發\t點\t(RP)\t提\t供\t一\t個\t活\t躍\t點\t數，\t每\t個\t玩\t家\t三\t天\t內\t最\t多\t可\t以\t獲\t得 360 點\t活\t動\t點\t數，\t離\t開\t聯\t隊\t時，\t活\t耀\t度\t會\t被\t重\t置";;
