"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Ukrainian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Czech>";"<Greek>";"<Indonesian>";"<Thai>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"turret_het/name/short";"Air targets";"Cibles aériennes";"Antiaerei";"Luftziele";"Objetivos aéreos";"Воздушные цели";"Повітряні цілі";"Cele powietrzne";"Alvos aéreos";"Hava hedefleri";"Protiletecká";"Εναέριοι στόχοι";"Target udara";"เป้าหมายทางอากาศ";"공대공";"对\t空";"空中目標";"對\t空";;
"countermeasures_default/name";"Standard countermeasures belt";"Ceinture standard de contre mesures";"Contromisure standard";"Standardtäuschkörpergurt";"Cinturón de contramedidas estándar";"Стандартный набор контермер";"Стандартний набір контрзаходів";"Standardowy zestaw środków zakłócających";"Standard countermeasures belt";"Standard countermeasures belt";"Standardní pás protiopatření";"Ιμάντας στάνταρ αντιμέτρων";"Sabuk penangkal standar";"สายพานมาตรการโต้ตอบมาตรฐาน";"표준 기만체 설정";"标\t准\t干\t扰\t弹\t配\t置";"標準的な\t対策\tベルト";"標\t準\t幹\t擾\t彈\t配\t置";;
"countermeasures_default/name/short";"Standard";"Standard";"Standard";"Standard";"Estándar";"Стандартный";"Стандартний";"Standardowy";"Standard";"Standard";"Standardní";"Στάνταρ";"Standard";"มาตรฐาน";"표준";"标\t准";"標準";"標\t準";;
"countermeasures_launcher_chaff_only/name";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Сhaff only";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"countermeasures_launcher_chaff_only/name/short";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Сhaff only";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"countermeasures_launcher_flare_only/name";"Flares reinforced";"Renforcé en leurres infrarouges";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"countermeasures_launcher_flare_only/name/short";"Flares reinforced";"Renforcé en leurres infrarouges";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"countermeasures_launcher_flare_priority/name";"Flare priority";"Priorité leurre infrarouge";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengalas";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Prioridade de Flares";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"countermeasures_launcher_flare_priority/name/short";"Flare priority";"Priorité leurre infrarouge";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengalas";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Prioridade de Flares";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"countermeasures_launcher_chaff_priority/name";"Mixed";"Mixte";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный ";"Змішаний";"Mieszane";"Misto";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"countermeasures_launcher_chaff_priority/name/short";"Mixed";"Mixte";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный";"Змішаний";"Mieszane";"Misto";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"maw_countermeasures_launcher_flare_only/name";"Flares reinforced";"Renforcé en leurres infrarouges";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"maw_countermeasures_launcher_flare_only/name/short";"Flares reinforced";"Renforcé en leurres infrarouges";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"maw_countermeasures_launcher_flare_priority/name";"Flare priority";"Priorité leurre thermique";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengalas";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Prioridade aos Flares";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"maw_countermeasures_launcher_flare_priority/name/short";"Flare priority";"Priorité leurre thermique";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengalas";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Prioridade aos Flares";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"maw_countermeasures_launcher_chaff_priority/name";"Mixed";"Mélangé";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный ";"Змішаний";"Mieszane";"Misto";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"maw_countermeasures_launcher_chaff_priority/name/short";"Mixed";"Mélangé";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный";"Змішаний";"Mieszane";"Misto";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"maw_countermeasures_launcher_chaff_only/name";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Apenas Chaff";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"maw_countermeasures_launcher_chaff_only/name/short";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Apenas Chaff";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"q5_countermeasures_launcher_flare_only/name";"Flares reinforced";"Renforcé en leurres infrarouges";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"q5_countermeasures_launcher_flare_only/name/short";"Flares reinforced";"Renforcé en leurres infrarouges";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"q5_countermeasures_launcher_flare_priority/name";"Flare priority";"Priorité leurre infrarouge";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengalas";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Prioridade aos Flares";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"q5_countermeasures_launcher_flare_priority/name/short";"Flare priority";"Priorité leurre infrarouge";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengalas";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Prioridade de Flares";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"q5_countermeasures_launcher_chaff_priority/name";"Mixed";"Mixte";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный ";"Змішаний";"Mieszane";"Misto";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"q5_countermeasures_launcher_chaff_priority/name/short";"Mixed";"Mixte";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный";"Змішаний";"Mieszane";"Misto";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"q5_countermeasures_launcher_chaff_only/name";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Apenas Chaff";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"q5_countermeasures_launcher_chaff_only/name/short";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Apenas Chaff";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"fn_hmp400_lcc_countermeasures_launcher_flare_only/name";"Flares reinforced";"Renforcé en leurres thermique";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"fn_hmp400_lcc_countermeasures_launcher_flare_only/name/short";"Flares reinforced";"Renforcé en leurres thermique";"Flares rinforzati";"Flares verstärkt";"Bengalas reforzadas";"Усиленный ЛТЦ";"Посилені ФТЦ";"Ulepszone flary";"Reforço de Flares";"Flares reinforced";"Posílené fléry";"Οι θερμοβολίδες ενισχύθηκαν";"Suar kuat";"เสริมแฟลร์";"보강된 플레어";"更\t多\t热\t焰\t弹";"フレア\t強化済み";"更\t多\t熱\t焰\t彈";;
"fn_hmp400_lcc_countermeasures_launcher_flare_priority/name";"Flare priority";"Priorité leurre thermique";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengala";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Prioridade aos Flares";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"fn_hmp400_lcc_countermeasures_launcher_flare_priority/name/short";"Flare priority";"Priorité leurre thermique";"Priorità ai Flare";"Priorität auf Flares";"Prioridad de bengala";"Приоритет ЛТЦ";"Пріорітет ФТЦ";"Priorytet flar";"Flare priority";"Flare priority";"Priorita flér";"Προτεραιότητα στις θερμοβολίδες";"Prioritas suar";"แฟลร์เป็นหลัก";"플레어 위주";"热\t焰\t弹\t优\t先";"フレア\t優先度";"熱\t焰\t彈\t優\t先";;
"fn_hmp400_lcc_countermeasures_launcher_chaff_priority/name";"Mixed";"Mixte";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный ";"Змішаний";"Mieszane";"Mixed";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"fn_hmp400_lcc_countermeasures_launcher_chaff_priority/name/short";"Mixed";"Mixte";"Misti";"Gemischte Täuschkörper";"Mixto";"Смешанный";"Змішаний";"Mieszane";"Mixed";"Mixed";"Mixovaná";"Μεικτά";"Campuran";"ผสม";"혼합";"混\t合";"混合";"混\t合";;
"fn_hmp400_lcc_countermeasures_launcher_chaff_only/name";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Apenas Chaff";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"fn_hmp400_lcc_countermeasures_launcher_chaff_only/name/short";"Сhaff only";"Paillette seulement";"Solo Chaff";"Nur Düppel";"Solo chaff";"Только ДО";"Тільки ДВ";"Tylko dipole";"Apenas Chaff";"Сhaff only";"Jen dipóly";"Μόνο αερόφυλλα";"Hanya sekam";"เฉพาะเป้าลวง";"채프 단일";"仅\t干\t扰\t箔";"チャフのみ";"只\t有\t干\t擾\t絲";;
"13mm_hotckiss_AP/name";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"БТ";"БТ";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"穿\t甲\t曳\t光\t弹";"AP-T";"AP-T";;
"13mm_hotckiss_AP/name/short";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"БТ";"БТ";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";;
"12mm_usa_M2HB_common/name";"Common";"Commun";"Proiettile";"Common";"Común";"Универсальная";"Універсальна";"Standardowy";"Comum";"Common";"běžný";"Στάνταρ";"Standar";"ทั่วไป";"기본";"常\t规\t弹";"コモン";"通\t用";;
"12mm_usa_M2HB_common/name/short";"Common";"Commun";"Proiettile";"Common";"Común";"Универсальная";"Універсальна";"Standardowy";"Comum";"Common";"běžný";"Στάνταρ";"Standar";"ทั่วไป";"기본";"常\t规";"コモン";"通\t用";;
"12_7mm_M2_HB_user_machinegun/default/name/short";"Common";"Commun";"Comuni";"Common";"Común";"Универсал";"Універсал";"Standardowy";"Comum";"Ortak";"Všeobecné";"Στάνταρ";"Standar";"ทั่วไป";"공통";"通\t用";"コモン";"通\t用";;
"14mm_ussr_KPVT_HEI/name";"IAI";"IAI";"HEI-T";"IAI";"IAI";"МДЗ";"МДЗ";"IAI";"IAI";"HEI-T";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";;
"14mm_ussr_KPVT_HEI/name/short";"IAI";"IAI";"HEI-T";"IAI";"IAI";"МДЗ";"МДЗ";"IAI";"IAI";"HEI-T";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";;
"14mm_ussr_KPVT_API/name";"API-T";"API-T";"API-T";"API-T";"API-T";"БЗТ";"БЗТ";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"14mm_ussr_KPVT_API/name/short";"API-T";"API-T";"API-T";"API-T";"API-T";"БЗТ";"БЗТ";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"14mm_apit";"API-T";"API-T";"API-T";"API-T";"API-T";"БЗТ";"БЗТ";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"14mm_mdz";"IAI";"IAI";"IAI";"IAI";"IAI";"МДЗ";"МДЗ";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";"IAI";;
"7_92mm_BESA_API/name";"API-T";"API-T";"API-T";"API-T";"API-T";"БЗТ";"БЗТ";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"7_92mm_BESA_API/name/short";"API-T";"API-T";"API-T";"API-T";"API-T";"БЗТ";"БЗТ";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"7_92mm_BESA_AP/name";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"БТ";"БТ";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";;
"7_92mm_BESA_AP/name/short";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"БТ";"БТ";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";;
"turret_ap_t/name";"%s mm turret ammunition belt with AP-T shells";"Bande de munitions AP-T pour tourelles de %s mm";"%s mm torretta con munizioni AP-T";"%smm AP-T-Munition (Geschützkanzeln)";"Cinturón de munición de torreta de %s mm con proyectiles AP-T";"Турельная лента %s состоит из БТ выстрелов";"Турельна стрічка %s складається з бронебійних трасуючих куль";"Amunicja AP-T %s mm";"Cinto de munições com balas AP-T da torre de %s mm";"%s mm AP-T çekirdek yüklenmiş mühimmat kemeri";"%s mm trasovací munice s AP-T";"Ιμάντας πυρομαχικών πυργίσκου %s mm με βλήματα AP-T";"Sabuk amunisi turret %s mm dengan selongsong AP-T";"สายพานกระสุนป้อมปืน %s มม. ที่บรรจุลูกปืน AP-T";"AP-T탄으로 구성된 사수용 %s mm 탄띠";"自\t卫\t武\t器 %s 毫\t米\t通\t用\t弹\t链\t配\t置";"%s mm 徹甲曳光弾入り 銃座用 弾薬\tベルト";"自\t衛\t武\t器 %s 公\t釐 AP-T 彈\t鏈\t配\t置";;
"turret_ap_t/name/short";"AP-T";"AP-T";"AP-T";"AP-T";"AP-T";"БТ";"БТ";"AP-T";"AP-T";"AP-T";"Průbojná trasovací";"AP-T";"AP-T";"AP-T";"AP-T";"通\t用";"徹甲曳光弾";"AP-T";;
"turret_he/name";"%s mm turret ammunition belt with AP and HEF shells";"Bande de munitions AP et HEF pour tourelles de %s mm";"%s mm torretta con munizioni AP e HEF";"%smm AP-/HEF-Munition (Geschützkanzeln)";"Cinturón de munición de torreta de %s mm con proyectiles AP y HEF";"Турельная лента %s состоит из Б и ОФ выстрелов";"Турельна стрічка %s складається з Б та ОФ снарядів";"Amunicja AP i HEF %s mm";"Cinto de munições com balas AP e HEF da torre de %s mm";"%s mm AP ve HEF çekirdek yüklenmiş mühimmat kemeri";"%s mm protiletecká munice s AP a HEF";"Ιμάντας πυρομαχικών πυργίσκου %s mm με βλήματα AP και HEF";"Sabuk amunisi turret %s mm dengan selongsong AP dan HEF";"สายพานกระสุนป้อมปืน %s มม. ที่บรรจุลูกปืน AP และ HEF";"AP와 HEF탄으로 구성된 사수용 %s mm 탄띠";"自\t卫\t武\t器 %s 毫\t米\t对\t空\t弹\t链\t配\t置";"%s mm 徹甲弾/破砕榴弾入り 銃座用 弾薬\tベルト";"自\t衛\t武\t器 %s 公\t釐 AP 與 HEF 彈\t鏈\t配\t置";;
"turret_he/name/short";"Air targets";"Cibles aériennes";"Antiaerei";"Luftziele";"Objetivos aéreos";"Воздушные цели";"Повітряні цілі";"Cele powietrzne";"Alvos aéreos";"Hava hedefleri";"Protiletecká";"Εναέριοι στόχοι";"Target udara";"เป้าหมายทางอากาศ";"공대공";"对\t空";"空中目標";"對\t空";;
"turret_apt/name";"%s mm turret ammunition belt with AP shells";"Bande de munitions AP pour tourelles de %s mm";"Munizioni con proiettili AP per torretta da %s mm";"%smm AP-Munition (Geschützkanzeln)";"Cinturón de munición de torreta de %s mm con proyectiles AP";"Турельная лента %s состоит из Б выстрелов";"Турельна стрічка %s складається з бронебійних куль";"Amunicja AP %s mm";"Cinto de munições com balas AP da torre de %s mm";"%s mm AP çekirdek yüklenmiş mühimmat kemeri";"%s mm průbojná věžová munice";"Ιμάντας πυρομαχικών πυργίσκου %s mm με βλήματα AP";"Sabuk amunisi turret %s mm dengan selongsong AP";"สายพานกระสุนป้อมปืน %s มม. ที่บรรจุลูกปืน AP";"AP 탄으로 구성된 사수용 %s mm 탄띠";"自\t卫\t武\t器 %s 毫\t米\t穿\t甲\t弹\t链\t配\t置";"%s mm 徹甲弾入り 銃座用 弾薬\tベルト";"自\t衛\t武\t器 %s 公\t釐\t穿\t甲\t彈\t鏈\t配\t置";;
"turret_apt/name/short";"Armored targets";"Cibles blindées";"Bersagli corazzati";"Gepanzerte Ziele";"Objetivos blindados";"Бронецели";"Бронецілі";"Cele opancerzone";"Alvos blindados";"Zırhlı hedefler";"Průbojná";"Θωρακισμένοι στόχοι";"Target yang menggunakan armor";"เป้าหมายหุ้มเกราะ";"장갑 표적용";"穿\t甲";"徹甲弾";"穿\t甲";;
"apcr_tank/name";"Armor-piercing composite rigid shell";"Obus anti-blindage composite rigide";"Proiettile perforante composito rigido";"Panzerbrechendes Hartkerngeschoss (APCR)";"Proyectil compuesto rígido perforante";"Бронебойный подкалиберный снаряд";"Бронебійний підкаліберний снаряд";"Pocisk podkalibrowy z twardym kompozytowym rdzeniem";"Munição compósita rigida perfurante";"Zırh delici kompozit sert mermi";"protipancéřová s průbojným jádrem";"Σύνθετο άκαμπτο διατρητικό βλήμα";"Selongsong Armor-Piercing Composite Rigid";"ลูกปืนเจาะเกราะคอมโพสิตริจิด";"경심철갑탄";"硬\t芯\t穿\t甲\t弹";"硬芯徹甲弾";"複\t合\t式\t硬\t芯\t穿\t甲\t彈";;
"apcr_tank/name/short";"APCR";"APCR";"APCR";"APCR";"APCR";"БПС";"БПС";"APCR";"APCR";"APCR";"APCR";"APCR";"APCR";"APCR";"APCR";"APCR";"APCR";"APCR";;
"apcr_tank/desc";"Effective against thick armor. Deals secondary shard damage";"Efficace contre les blindages épais. Inflige des dégâts secondaires avec les éclats";"Efficace contro corazze spesse. Infligge danni secondari da schegge";"Wirksam gegen starke Panzerung. Verursacht sekundären Splitterschaden";"Efectivo contra la armadura gruesa. Causa daño secundario por fragmentación";"Эффективен против толстой брони. Наносит урон вторичными осколками";"Ефективний проти товстої броні. Наносить шкоду вторинними осколками";"Skuteczny przeciwko grubemu pancerzowi. Zadaje wtórne uszkodzenia odłamkami";"Eficaz contra blindagem espessa. Causa danos secundários de fragmentos";"Kalın zırha karşı etkilidir. İkincil parça hasarı verir";"Efektivní proti silnému pancíři. Uděluje sekundární poškození střepinami";"Αποτελεσματικό ενάντια σε παχιά θωράκιση. Προκαλεί δευτερεύουσα ζημιά από θραύσματα";"Efektif terhadap armor tebal. Menimbulkan damage pecahan cadangan";"ใช้ได้ผลดีกับเกราะหนา สร้างความเสียหายรองจากสะเก็ด";"관통 시 금속 파편을 생성하며, 일반 포탄보다 높은 관통력을 가집니다.";"反\t制\t较\t厚\t的\t装\t甲\t时\t十\t分\t有\t效，\t击\t穿\t装\t甲\t后\t能\t够\t造\t成\t二\t次\t破\t片\t伤\t害";"厚い\t装甲に\t対して\t効果的。\tセカンダリシャードダメージを\t与える";"反\t制\t較\t厚\t的\t裝\t甲\t時\t十\t分\t有\t效，\t擊\t穿\t裝\t甲\t後\t能\t夠\t造\t成\t二\t次\t破\t片\t傷\t害";;
"apbc_tank/name";"Armor-piercing ballistic capped shell";"Obus anti-blindage avec coiffe balistique";"Proiettile perforante ballistico incapsulato";"Panzerbrechendes Wuchtgeschoss mit ballistischer Haube (APBC)";"Proyectil perforante con capa balística";"Бронебойный тупоголовый снаряд";"Бронебійний тупоголовий снаряд";"Pocisk przeciwpancerny z czepcem balistycznym";"Munição balística reforçada perfurante";"Zırh delici balistik başlıklı mermi";"protipancéřová s balistickou kuklou";"Διατρητικό βλήμα με βαλλιστικό κάλυμμα";"Selongsong Armor-Piercing Ballistic Capped";"ลูกปืนเจาะเกราะติดหัวครอบเพิ่มความเร็ว";"저저항모부철갑탄";"风\t帽\t穿\t甲\t弹";"風帽付徹甲弾";"風\t帽\t穿\t甲\t彈";;
"apbc_tank/name/short";"APBC";"APBC";"APBC";"APBC";"APBC";"БС";"БС";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";;
"apbc_tank/desc";"Universal anti-tank projectile";"Projectile antichar universel";"Proiettile anticarro universale";"Universelles Panzerabwehr-Geschoss";"Proyectil antitanque universal";"Универсальный противотанковый снаряд";"Універсальний протитанковий снаряд";"Uniwersalny pocisk przeciwpancerny";"Projétil antitanque universal";"Çok amaçlı tanksavar mermisi";"Univerzální protitankový projektil";"Καθολικό αντιαρματικό βλήμα";"Proyektil anti-tank universal";"กระสุนต่อต้านรถถังแบบสากล";"다양한 상황에서 사용할 수 있는 포탄입니다.";"通\t用\t反\t坦\t克\t弹\t药";"汎用対戦車弾";"通\t用\t反\t戰\t車\t彈\t藥";;
"apbc_usa_tank/name";"Armor-piercing ballistic capped shell";"Obus anti-blindage avec coiffe balistique";"Proiettile perforante ballistico incapsulato";"Panzerbrechendes Wuchtgeschoss mit ballistischer Haube (APBC)";"Proyectil perforante con capa balística";"Бронебойный остроголовый снаряд (с баллистическим колпачком)";"Бронебійний гостроголовий снаряд (з балістичним ковпачком)";"Pocisk przeciwpancerny z czepcem balistycznym";"Armor-piercing ballistic capped shell";"Zırh delici balistik başlıklı mermi";"protipancéřová s balistickou kuklou";"Διατρητικό βλήμα με βαλλιστικό κάλυμμα";"Selongsong Armor-Piercing Ballistic Capped";"ลูกปืนเจาะเกราะติดหัวครอบเพิ่มความเร็ว";"저저항모부철갑탄";"风\t帽\t穿\t甲\t弹";"APBC\t弾";"風\t帽\t穿\t甲\t彈";;
"apbc_usa_tank/name/short";"APBC";"APBC";"APBC";"APBC";"APBC";"БС";"БС";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";"APBC";;
